epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3121.49,1.64564,3.60943,2.36332,0.38352,0.15989,0.08162,0.03715,1.97078,3.69429,3.20238,0.0804737,0.000398496,0.000398496
2,4371.44,1.57645,3.36554,2.26893,0.3796,0.17657,0.08155,0.03572,1.91236,3.74329,2.88761,0.0608736,0.000798447,0.000798447
3,5671.31,1.55491,3.30119,2.24612,0.3194,0.169,0.11937,0.05408,1.92479,3.23583,2.78579,0.0412734,0.0011982,0.0011982
4,7121.07,1.51372,3.2107,2.20223,0.32459,0.20489,0.10301,0.04759,2.10421,3.3901,3.45945,0.0216728,0.00159761,0.00159761
5,8455.34,1.48649,3.12741,2.16608,0.32061,0.31541,0.2033,0.10485,1.77615,2.82238,2.67558,0.00207171,0.00199652,0.00199652
6,10004.5,1.45629,3.04259,2.13801,0.22872,0.36075,0.21545,0.11021,1.70025,2.54247,2.69375,0.00199692,0.00199692,0.00199692
7,11320.8,1.4272,2.97165,2.11023,0.18431,0.29566,0.17541,0.10309,1.52801,3.08181,2.40536,0.00199556,0.00199556,0.00199556
8,12707.9,1.41561,2.92416,2.08872,0.19052,0.30727,0.16752,0.08159,1.72787,3.16733,2.82316,0.00199396,0.00199396,0.00199396
9,13953.6,1.39402,2.82956,2.06549,0.27316,0.40136,0.25825,0.13881,1.57974,2.28623,2.56457,0.00199212,0.00199212,0.00199212
10,15290.1,1.39044,2.80326,2.06085,0.23862,0.34364,0.24888,0.13381,1.52738,2.60214,2.4844,0.00199002,0.00199002,0.00199002
11,16735.9,1.37811,2.76781,2.04771,0.3786,0.35568,0.3457,0.17751,1.54467,2.2284,2.43362,0.00198769,0.00198769,0.00198769
12,18136.6,1.35846,2.72915,2.02907,0.33196,0.40355,0.29285,0.16108,1.39863,2.38996,2.3485,0.00198511,0.00198511,0.00198511
13,19463.2,1.35922,2.71361,2.02819,0.24253,0.38157,0.26992,0.13766,1.45777,2.65321,2.42421,0.00198229,0.00198229,0.00198229
14,20794.3,1.34369,2.65937,2.01556,0.28725,0.4209,0.30984,0.16449,1.5661,2.36486,2.46775,0.00197922,0.00197922,0.00197922
15,21931.9,1.3298,2.59762,1.99539,0.40201,0.44197,0.36776,0.20355,1.4654,2.21835,2.39886,0.00197592,0.00197592,0.00197592
16,23408.8,1.32373,2.56264,1.99679,0.45458,0.40773,0.36085,0.1958,1.48988,2.17278,2.43669,0.00197237,0.00197237,0.00197237
17,24751.7,1.31226,2.54105,1.98712,0.33636,0.48113,0.40259,0.21015,1.51969,2.07522,2.52049,0.00196859,0.00196859,0.00196859
18,26379.1,1.30563,2.51945,1.97575,0.32535,0.47363,0.38759,0.21462,1.51628,2.19455,2.53267,0.00196456,0.00196456,0.00196456
19,27695.5,1.29507,2.49958,1.96799,0.35604,0.48376,0.425,0.25625,1.39649,1.91966,2.30888,0.0019603,0.0019603,0.0019603
20,28972.5,1.29374,2.47906,1.96134,0.38146,0.45153,0.36219,0.20859,1.47206,2.05565,2.47323,0.0019558,0.0019558,0.0019558
21,30031,1.28878,2.45927,1.96244,0.39044,0.46743,0.44869,0.26503,1.37011,2.07076,2.22409,0.00195106,0.00195106,0.00195106
